"";"ASV0001";"ASV0003";"ASV0006";"ASV0008";"ASV0013";"ASV0016";"ASV0017";"ASV0021";"ASV0023";"ASV0025";"ASV0029";"ASV0030";"ASV0032";"ASV0034";"ASV0035";"ASV0036";"ASV0037";"ASV0038";"ASV0039";"ASV0040";"ASV0042";"ASV0043";"ASV0045";"ASV0048";"ASV0050";"ASV0052";"ASV0053";"ASV0056";"ASV0063";"ASV0064";"ASV0071";"ASV0072";"ASV0073";"ASV0077";"ASV0081";"ASV0083";"ASV0085";"ASV0086";"ASV0097";"ASV0101";"ASV0102";"ASV0104";"ASV0107";"ASV0118";"ASV0120";"ASV0127";"ASV0134";"ASV0135";"ASV0142";"ASV0143";"ASV0145";"ASV0147";"ASV0190";"ASV0206";"ASV0210";"ASV0223";"ASV0238";"ASV0261";"ASV0270";"ASV0273";"ASV0277";"ASV0279";"ASV0315";"ASV0325";"ASV0349";"ASV0382";"ASV0395";"ASV0403";"ASV0425";"ASV0442";"ASV0452";"ASV0456";"ASV0462";"ASV0501";"ASV0510";"ASV0561";"ASV0569";"ASV0631";"ASV0652";"ASV0676";"ASV0688";"ASV0711";"ASV0720";"ASV0775";"ASV0799";"ASV0834";"ASV0838";"ASV0867";"ASV0882";"ASV0932";"ASV1079";"ASV1112";"ASV1119";"ASV1191";"ASV1207";"ASV1272";"ASV1284";"ASV1335";"ASV1389";"ASV1403";"ASV1411";"ASV1412";"ASV1506";"ASV1593";"ASV1742";"ASV2590"
"H4A18";7925;6086;5454;3377;1465;1019;976;152;588;161;119;0;377;87;448;364;107;457;106;306;0;229;0;863;279;161;234;530;221;633;98;409;536;59;116;397;359;0;140;477;274;200;159;326;0;0;359;0;173;0;343;123;57;0;304;224;21;263;37;119;296;97;0;58;64;0;15;157;56;0;0;0;0;0;76;80;0;61;28;25;0;60;43;8;0;2;0;2;44;0;5;0;8;6;14;0;7;2;0;0;0;0;3;3;0;0
"P1F18";5302;4097;3754;2386;1034;799;709;604;512;788;522;0;191;443;422;273;682;358;612;121;0;115;0;437;166;0;182;314;112;330;0;307;262;110;72;268;184;628;88;48;159;99;96;137;0;0;34;499;80;0;45;76;0;76;53;35;0;38;13;70;41;144;0;0;36;51;42;28;0;40;0;0;48;0;0;23;0;15;0;0;0;22;27;17;0;0;0;21;0;0;15;0;23;5;0;0;0;7;0;0;0;5;4;8;6;0
"P1A18";493;391;361;235;54;42;47;19;69;522;13;2;74;9;39;14;388;27;343;54;0;52;3;78;24;85;17;14;56;61;51;7;55;147;42;13;22;0;42;13;12;24;35;16;107;104;20;45;17;1462;14;7;46;0;8;7;961;6;45;23;6;17;360;0;0;0;0;7;40;0;67;68;0;39;0;9;35;7;0;66;5;2;0;0;11;52;0;0;0;0;0;5;0;0;0;22;5;0;5;0;8;0;0;0;19;1
"P2F18";4718;3708;3312;2084;1018;807;709;676;482;739;451;0;348;500;369;233;588;337;542;257;219;238;0;250;192;78;172;273;126;187;0;249;204;93;0;221;128;550;93;47;108;232;76;95;63;64;44;393;202;0;40;169;108;134;82;20;0;61;0;94;36;103;0;0;0;84;87;25;0;53;0;0;57;0;58;30;0;15;27;0;0;23;0;0;0;0;26;28;0;0;20;0;15;0;0;0;11;0;0;0;17;10;0;17;6;0
"P3F18";3878;2989;2691;1604;695;512;492;530;386;245;415;0;429;406;283;215;242;239;195;329;3324;317;0;115;116;0;131;211;103;80;41;206;70;49;0;188;72;980;86;47;49;203;86;45;98;47;28;644;154;0;20;138;0;49;40;7;0;42;0;102;31;53;0;25;67;36;40;29;0;0;0;0;65;0;64;12;0;10;0;0;16;9;0;0;0;0;0;18;6;53;23;0;20;0;6;0;0;0;0;9;7;0;0;8;5;0
"P4F18";5218;4002;3681;2281;1031;858;811;809;553;423;630;0;188;603;448;226;378;403;346;141;106;131;0;235;145;0;160;252;68;192;0;218;172;81;34;194;142;839;69;39;118;204;68;89;71;47;32;613;144;0;34;113;45;135;45;30;0;41;0;121;37;113;0;0;0;102;79;38;0;0;0;0;0;0;68;26;0;18;0;0;29;13;21;0;0;0;0;23;0;0;18;0;18;0;0;0;7;0;0;0;15;8;0;10;7;0
"Q1A17";125;0;0;27;24;0;17;16;21;10;0;80;127;0;0;0;0;0;0;80;0;117;75;0;0;22;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;18;0;0;0;0;0;38;0;0;0;0;146;88;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
"Q1F18";113;0;0;0;0;0;11;0;0;0;0;161;0;0;0;0;0;0;0;72;0;40;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;78;0;3;0;0;0;0;0;0;0;1;52;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"Q2A17";653;481;477;317;93;89;98;57;44;0;29;40;122;50;50;37;0;30;0;91;0;77;35;0;32;125;14;33;0;0;0;0;0;0;0;0;0;123;29;51;0;0;63;0;0;0;0;0;12;0;0;37;0;0;11;6;0;0;0;0;0;0;31;0;58;7;25;7;0;0;0;0;0;38;0;0;7;0;0;0;0;0;0;0;0;53;0;8;0;0;12;0;9;0;0;1;0;0;0;17;0;21;0;7;0;0
"Q2F18";1159;976;875;562;40;30;35;19;67;92;0;70;104;0;0;62;86;0;54;87;89;81;55;23;48;48;50;0;0;21;0;0;12;0;0;24;47;0;0;0;38;0;0;40;0;45;0;0;0;0;21;0;69;0;0;0;0;0;0;0;18;0;0;57;65;0;0;0;0;160;0;0;218;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"Q3A17";423;341;326;197;0;33;89;61;67;11;0;43;192;0;0;26;0;0;0;138;0;117;32;0;17;129;22;62;17;0;0;0;0;0;0;0;0;62;0;39;0;44;0;0;0;0;0;0;0;0;0;0;0;50;0;9;0;0;0;0;0;0;33;130;43;0;0;0;45;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;13;0;0;0;10;0;6;0;0;0;0
"Q3F18";1462;1205;1112;686;75;44;91;0;0;79;44;110;850;17;56;87;41;15;88;667;109;677;90;71;65;56;46;44;54;58;0;33;67;0;0;25;73;36;0;27;66;0;0;52;0;36;11;0;0;16;7;0;190;0;6;8;0;5;0;0;6;0;0;172;159;0;0;6;0;140;12;0;100;0;0;14;0;8;0;0;0;6;0;0;35;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;13;0;0;0;0
"Q3A18";3233;2450;2244;1463;838;604;541;155;713;406;142;0;238;103;525;257;315;510;322;220;100;207;0;63;185;109;181;62;82;0;0;63;0;80;36;50;0;0;52;75;0;198;49;0;87;0;50;0;131;311;47;139;0;51;90;43;214;71;0;103;68;0;0;18;73;42;34;42;58;0;0;0;0;52;57;0;0;0;0;0;71;0;88;15;10;0;0;3;50;10;7;5;7;6;12;0;18;4;3;6;11;0;10;5;0;0
"Q4A17";447;324;293;257;120;0;0;18;25;0;27;45;70;12;50;0;20;12;0;64;0;43;0;0;0;80;0;49;34;0;0;0;0;0;0;0;0;49;0;27;0;52;0;0;0;0;0;41;0;0;0;0;42;29;5;13;0;0;0;0;0;0;23;0;0;0;0;1;86;0;0;0;0;63;0;0;0;0;0;78;17;0;0;0;0;102;0;4;0;0;2;0;7;0;0;0;0;0;0;18;0;3;0;0;9;0
