Site;ASV;Node_Category;Eigen_Centrality;Degree_Centrality;Betweenness_Centrality;Membership
Pta_Choros;ASV0008;Core;5,39E-07;21;751,9233386;1
Pta_Choros;ASV0013;Core;2,58E-06;34;20281,04023;1
Pta_Choros;ASV0016;Core;2,32E-07;33;2323,133532;1
Pta_Choros;ASV0017;Core;1,85E-07;32;2194,01772;1
Pta_Choros;ASV0021;Core;6,51E-08;15;8,667357792;1
Pta_Choros;ASV0023;Core;2,40E-07;49;12203,85638;1
Pta_Choros;ASV0025;Core;1,73E-17;2;0;36
Pta_Choros;ASV0029;Core;9,66E-08;18;19,62304751;1
Pta_Choros;ASV0030;Core;3,41E-06;20;2773,75489;1
Pta_Choros;ASV0032;Core;2,40E-10;2;0;1
Pta_Choros;ASV0034;Core;3,57E-08;12;5,868801142;1
Pta_Choros;ASV0035;Core;1,05E-06;49;28519,70265;1
Pta_Choros;ASV0036;Core;5,04E-07;23;1234,814064;1
Pta_Choros;ASV0037;Core;1,30E-17;2;0;36
Pta_Choros;ASV0038;Core;2,38E-07;49;7523,681537;1
Pta_Choros;ASV0039;Core;8,65E-18;2;0;36
Pta_Choros;ASV0040;Core;1,13E-08;3;632;1
Pta_Choros;ASV0042;Core;7,97E-12;3;0;21
Pta_Choros;ASV0043;Core;1,13E-08;3;632;1
Pta_Choros;ASV0045;Core;3,08E-06;8;8,91981514;1
Pta_Choros;ASV0048;Core;2,56E-09;23;67,55236491;1
Pta_Choros;ASV0050;Core;4,60E-07;19;668,164472;1
Pta_Choros;ASV0053;Core;4,60E-07;19;668,164472;1
Pta_Choros;ASV0056;Core;4,98E-09;22;1593,014356;1
Pta_Choros;ASV0063;Core;2,88E-09;4;0;1
Pta_Choros;ASV0064;Core;2,47E-09;21;52,03675639;1
Pta_Choros;ASV0071;Core;4,32E-18;1;0;53
Pta_Choros;ASV0072;Core;8,02E-09;37;2390,999939;1
Pta_Choros;ASV0073;Core;2,76E-09;26;115,7904472;1
Pta_Choros;ASV0077;Core;1,48E-09;3;0;17
Pta_Choros;ASV0081;Core;1,08E-18;1;0;53
Pta_Choros;ASV0083;Core;5,55E-09;32;1106,777825;1
Pta_Choros;ASV0085;Core;2,90E-09;26;436,2945602;1
Pta_Choros;ASV0086;Core;5,40E-18;1;0;49
Pta_Choros;ASV0097;Core;5,08E-08;11;223,3228861;1
Pta_Choros;ASV0101;Core;1,83E-08;17;6460,364424;1
Pta_Choros;ASV0102;Core;2,73E-09;26;984,6377615;1
Pta_Choros;ASV0104;Core;3,27E-08;36;6423,256931;1
Pta_Choros;ASV0107;Core;1,59E-07;10;602,0671649;1
Pta_Choros;ASV0118;Core;2,67E-09;24;89,3044488;1
Pta_Choros;ASV0120;Core;1,48E-09;3;0;17
Pta_Choros;ASV0127;Core;1,48E-09;3;0;17
Pta_Choros;ASV0134;Core;5,17E-09;28;1124,996275;1
Pta_Choros;ASV0135;Core;1,01E-07;4;1265;1
Pta_Choros;ASV0142;Core;3,20E-08;38;5549,958181;1
Pta_Choros;ASV0143;Core;1,07E-09;4;5495,07745;7
Pta_Choros;ASV0145;Core;6,05E-09;27;1466,661442;1
Pta_Choros;ASV0147;Core;2,94E-08;36;4324,680311;1
Pta_Choros;ASV0206;Core;2,46E-07;9;1708,978318;1
Pta_Choros;ASV0210;Core;1,50E-08;34;1757,334539;1
Pta_Choros;ASV0223;Core;3,42E-09;21;471,082687;1
